p;k;rb;coloring
37;27;4;[{0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {18}, {3}]
37;28;4;[{0}, {1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36}, {9, 20, 28, 17}]
37;29;4;[{0}, {1, 36}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35}]
37;30;4;[{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {1, 26}, {19}]
37;31;4;[{0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {6, 23}, {8}]
37;32;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36}, {35}, {22}]
37;33;4;[{0}, {1, 33, 3, 4, 34, 36, 7, 9, 10, 11, 12, 16, 21, 25, 26, 27, 28, 30}, {32, 2, 35, 5, 6, 8, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 29, 31}]
37;34;4;[{0}, {1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {10, 27, 14, 23}]
37;35;4;[{0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}, {8, 23}, {6}]
37;36;11;[{0, 1, 33, 3, 35, 5, 7, 9, 11, 13, 15, 18, 20, 23, 25, 27, 29, 31}, {2, 36}, {26, 12}, {16, 17, 21, 22}, {34, 4}, {32, 6}, {8, 30}, {24, 14}, {19}, {10, 28}]
41;2;4;[{0}, {32, 1, 3, 38, 40, 9, 14, 27}, {2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39}]
41;3;4;[{0}, {1, 34, 7, 40, 13, 15, 17, 24, 26, 28}, {2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 16, 18, 19, 20, 21, 22, 23, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39}]
41;4;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {21}, {9}]
41;5;4;[{0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {26, 14}, {4, 23}]
41;6;4;[{0}, {1, 3, 7, 8, 9, 10, 11, 14, 16, 17, 19, 20, 21, 22, 24, 25, 27, 30, 31, 32, 33, 34, 38, 40}, {2, 35, 4, 5, 6, 36, 37, 39, 12, 13, 15, 18, 23, 26, 28, 29}]
41;7;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {19}, {15}]
41;8;4;[{0, 1, 2, 3, 5, 6, 7, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {4, 12}, {8, 10}]
41;9;4;[{0}, {1, 5, 6, 7, 8, 9, 13, 14, 15, 17, 19, 22, 24, 26, 27, 28, 32, 33, 34, 35, 36, 40}, {2, 3, 4, 37, 38, 39, 10, 11, 12, 16, 18, 20, 21, 23, 25, 29, 30, 31}]
41;10;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {27, 15}, {16}]
41;11;4;[{0, 1, 2, 3, 4, 5, 7, 10, 11, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {20}, {6, 8, 9, 12, 13, 15}]
41;12;4;[{0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {1, 9}, {21}]
41;13;4;[{0}, {1, 34, 4, 37, 7, 40, 10, 11, 12, 13, 16, 18, 23, 25, 28, 29, 30, 31}, {2, 3, 5, 6, 8, 9, 14, 15, 17, 19, 20, 21, 22, 24, 26, 27, 32, 33, 35, 36, 38, 39}]
41;14;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40}, {32}, {20}]
41;15;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {21}, {16}]
41;16;4;[{0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {16, 21}, {4, 12}]
41;17;4;[{0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {15}, {7}]
41;18;4;[{0}, {32, 1, 3, 38, 40, 9, 14, 27}, {2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39}]
41;19;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {19, 13}, {9}]
41;20;6;[{0, 1, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 38, 39}, {40, 2}, {37, 5}, {32, 10}, {21}]
41;21;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {14}, {13}]
41;22;4;[{0}, {32, 1, 3, 38, 40, 9, 14, 27}, {2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39}]
41;23;4;[{0}, {1, 3, 6, 7, 11, 12, 13, 14, 15, 17, 19, 22, 24, 26, 27, 28, 29, 30, 34, 35, 38, 40}, {32, 33, 2, 4, 5, 36, 37, 8, 9, 10, 39, 16, 18, 20, 21, 23, 25, 31}]
41;24;4;[{0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {16, 21}, {8, 10}]
41;25;4;[{0}, {1, 3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 34, 35, 37, 38, 40}, {32, 33, 2, 36, 5, 39, 8, 9, 20, 21}]
41;26;4;[{0}, {32, 1, 33, 3, 38, 8, 9, 10, 11, 40, 14, 17, 24, 27, 30, 31}, {2, 4, 5, 6, 7, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 34, 35, 36, 37, 39}]
41;27;4;[{0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {12}, {7}]
41;28;4;[{0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40}, {37, 5}, {9}]
41;29;4;[{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {27}, {10, 4}]
41;30;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {29, 13}, {16}]
41;31;4;[{0, 1, 2, 3, 4, 5, 6, 9, 10, 13, 14, 15, 18, 19, 20, 23, 24, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {7, 11, 12, 16, 17, 21, 22, 25, 26}, {8}]
41;32;4;[{0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {1, 9}, {21}]
41;33;4;[{0}, {1, 34, 7, 40, 11, 12, 13, 28, 29, 30}, {2, 3, 4, 5, 6, 8, 9, 10, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 35, 36, 37, 38, 39}]
41;34;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40}, {32}, {20}]
41;35;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {21}, {16}]
41;36;4;[{0}, {32, 1, 3, 4, 5, 36, 37, 38, 9, 40, 12, 14, 15, 26, 27, 29}, {2, 6, 7, 8, 10, 11, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 30, 31, 33, 34, 35, 39}]
41;37;4;[{0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {16}, {5}]
41;38;4;[{0}, {32, 1, 3, 38, 40, 9, 14, 27}, {2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39}]
41;39;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}, {16, 23}, {9}]
41;40;12;[{0, 1, 3, 5, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 37, 39}, {19, 23}, {40, 2}, {27, 15}, {4, 38}, {11, 31}, {17, 25}, {35, 7}, {21}, {9, 33}, {29, 13}]
43;2;4;[{0}, {1, 3, 5, 6, 7, 8, 9, 11, 13, 18, 20, 21, 22, 23, 25, 30, 32, 34, 35, 36, 37, 38, 40, 42}, {33, 2, 4, 39, 41, 10, 12, 14, 15, 16, 17, 19, 24, 26, 27, 28, 29, 31}]
43;3;4;[{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42}, {13, 38}, {2}]
43;4;4;[{0}, {1, 34, 36, 7, 9, 42, 13, 18, 25, 30}, {2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 31, 32, 33, 35, 37, 38, 39, 40, 41}]
43;5;4;[{0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {30}, {6}]
43;6;4;[{0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {2, 14}, {8, 13}]
43;7;4;[{0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {29, 7}, {25}]
43;8;4;[{0, 42, 21}, {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41}, {22}]
43;9;4;[{0}, {1, 36, 37, 6, 7, 42}, {2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 41}]
43;10;4;[{0}, {1, 33, 3, 5, 38, 40, 10, 42, 12, 19, 20, 23, 24, 31}, {2, 4, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 21, 22, 25, 26, 27, 28, 29, 30, 32, 34, 35, 36, 37, 39, 41}]
43;11;4;[{0}, {1, 3, 5, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 23, 24, 25, 26, 28, 29, 30, 31, 33, 34, 38, 40, 42}, {32, 2, 35, 4, 36, 6, 7, 8, 37, 39, 11, 41, 16, 21, 22, 27}]
43;12;4;[{0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {32, 9}, {8}]
43;13;4;[{0}, {1, 33, 35, 5, 6, 37, 8, 38, 10, 42, 14, 16, 18, 25, 27, 29}, {2, 3, 4, 7, 9, 11, 12, 13, 15, 17, 19, 20, 21, 22, 23, 24, 26, 28, 30, 31, 32, 34, 36, 39, 40, 41}]
43;14;4;[{0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {18}, {3}]
43;15;4;[{0}, {1, 33, 35, 36, 5, 6, 7, 8, 37, 10, 38, 42, 13, 16, 17, 26, 27, 30}, {2, 3, 4, 9, 11, 12, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 31, 32, 34, 39, 40, 41}]
43;16;4;[{0}, {32, 1, 35, 8, 42, 11, 14, 15, 17, 21, 22, 26, 28, 29}, {2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 16, 18, 19, 20, 23, 24, 25, 27, 30, 31, 33, 34, 36, 37, 38, 39, 40, 41}]
43;17;4;[{0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {24, 17, 19, 12}, {6}]
43;18;4;[{0}, {1, 2, 4, 6, 7, 10, 12, 14, 15, 16, 17, 19, 24, 26, 27, 28, 29, 31, 33, 36, 37, 39, 41, 42}, {32, 34, 3, 35, 5, 38, 8, 9, 40, 11, 13, 18, 20, 21, 22, 23, 25, 30}]
43;19;4;[{0}, {1, 33, 3, 5, 38, 40, 10, 42, 12, 19, 20, 23, 24, 31}, {2, 4, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 21, 22, 25, 26, 27, 28, 29, 30, 32, 34, 35, 36, 37, 39, 41}]
43;20;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {26}, {19}]
43;21;6;[{0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 35, 36, 38, 39, 40, 41, 42}, {37, 5}, {20, 22}, {8, 34}, {12, 30}]
43;22;4;[{0}, {32, 1, 33, 35, 37, 6, 8, 10, 11, 42, 14, 16, 18, 25, 27, 29}, {2, 3, 4, 5, 7, 9, 12, 13, 15, 17, 19, 20, 21, 22, 23, 24, 26, 28, 30, 31, 34, 36, 38, 39, 40, 41}]
43;23;4;[{0}, {1, 3, 5, 6, 7, 8, 9, 11, 13, 18, 20, 21, 22, 23, 25, 30, 32, 34, 35, 36, 37, 38, 40, 42}, {33, 2, 4, 39, 41, 10, 12, 14, 15, 16, 17, 19, 24, 26, 27, 28, 29, 31}]
43;24;4;[{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {25, 22}, {8}]
43;25;4;[{0}, {1, 34, 9, 42, 13, 18, 25, 30}, {2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41}]
43;26;4;[{0}, {1, 42}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41}]
43;27;4;[{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {11}, {2}]
43;28;4;[{0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {24, 20}, {2, 4}]
43;29;4;[{0}, {1, 2, 42, 41}, {3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40}]
43;30;4;[{0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {32}, {5, 30}]
43;31;4;[{0}, {1, 33, 3, 36, 5, 38, 7, 40, 10, 42, 12, 19, 20, 23, 24, 31}, {2, 4, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 21, 22, 25, 26, 27, 28, 29, 30, 32, 34, 35, 37, 39, 41}]
43;32;4;[{0}, {1, 36, 37, 6, 7, 42}, {2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 41}]
43;33;4;[{0}, {1, 36, 37, 6, 7, 42}, {2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 41}]
43;34;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {20}, {12}]
43;35;4;[{0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {25}, {3}]
43;36;4;[{0}, {1, 36, 37, 6, 7, 42}, {2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 41}]
43;37;4;[{0}, {32, 1, 35, 36, 7, 8, 42, 11, 21, 22}, {2, 3, 4, 5, 6, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 37, 38, 39, 40, 41}]
43;38;4;[{0}, {1, 33, 34, 36, 37, 6, 7, 9, 10, 42, 12, 13, 18, 19, 24, 25, 30, 31}, {2, 3, 4, 5, 8, 11, 14, 15, 16, 17, 20, 21, 22, 23, 26, 27, 28, 29, 32, 35, 38, 39, 40, 41}]
43;39;4;[{0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}, {17, 10}, {2}]
43;40;4;[{0}, {1, 42}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41}]
43;41;4;[{0}, {1, 33, 34, 9, 10, 42, 13, 19, 24, 30}, {2, 3, 4, 5, 6, 7, 8, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29, 31, 32, 35, 36, 37, 38, 39, 40, 41}]
43;42;13;[{0, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41}, {2, 42}, {24, 20}, {40, 4}, {10, 34}, {38, 6}, {16, 28}, {32, 12}, {8, 36}, {18, 26}, {14, 30}, {22}]
47;2;4;[{0}, {1, 3, 6, 9, 10, 11, 12, 13, 15, 19, 20, 23, 24, 27, 28, 32, 34, 35, 36, 37, 38, 41, 44, 46}, {2, 4, 5, 7, 8, 14, 16, 17, 18, 21, 22, 25, 26, 29, 30, 31, 33, 39, 40, 42, 43, 45}]
47;3;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46}, {22}, {13}]
47;4;4;[{0}, {1, 3, 6, 9, 10, 11, 12, 13, 15, 19, 20, 23, 24, 27, 28, 32, 34, 35, 36, 37, 38, 41, 44, 46}, {2, 4, 5, 7, 8, 14, 16, 17, 18, 21, 22, 25, 26, 29, 30, 31, 33, 39, 40, 42, 43, 45}]
47;5;4;[{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46}, {1}, {24}]
47;6;4;[{0}, {1, 46}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45}]
47;7;4;[{0}, {1, 46}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45}]
47;8;4;[{0}, {1, 3, 6, 9, 10, 11, 12, 13, 15, 19, 20, 23, 24, 27, 28, 32, 34, 35, 36, 37, 38, 41, 44, 46}, {2, 4, 5, 7, 8, 14, 16, 17, 18, 21, 22, 25, 26, 29, 30, 31, 33, 39, 40, 42, 43, 45}]
47;9;4;[{0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46}, {21}, {4}]
47;10;4;[{0}, {1, 46}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45}]
47;11;4;[{0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46}, {16, 37, 3, 29}, {22}]
47;12;4;[{0}, {1, 46}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45}]
