p;k;rb;coloring
19;17;4;[{0}, {1, 3, 6, 7, 8, 11, 12, 13, 16, 18}, {2, 4, 5, 9, 10, 14, 15, 17}]
19;18;7;[{0, 1, 3, 5, 7, 9, 11, 13, 15, 17}, {16, 4}, {2, 18}, {10}, {8, 12}, {6, 14}]
23;2;4;[{0, 1, 2, 3, 5, 6, 7, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22}, {9, 4, 14}, {8}]
23;3;4;[{0}, {1, 3, 4, 5, 10, 11, 12, 13, 18, 19, 20, 22}, {2, 6, 7, 8, 9, 14, 15, 16, 17, 21}]
23;4;4;[{0}, {1, 22}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21}]
23;5;4;[{0}, {1, 22}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21}]
23;6;4;[{0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 21, 22}, {9, 3, 20}, {13}]
23;7;4;[{0}, {1, 22}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21}]
23;8;4;[{0}, {1, 22}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21}]
23;9;4;[{0}, {1, 3, 4, 5, 10, 11, 12, 13, 18, 19, 20, 22}, {2, 6, 7, 8, 9, 14, 15, 16, 17, 21}]
23;10;4;[{0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22}, {4}, {3}]
23;11;4;[{0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22}, {15, 7}, {11}]
23;12;4;[{0}, {1, 8, 9, 14, 15, 22}, {2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21}]
23;13;4;[{0, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22}, {1, 14}, {10}]
23;14;4;[{0}, {1, 3, 4, 5, 10, 11, 12, 13, 18, 19, 20, 22}, {2, 6, 7, 8, 9, 14, 15, 16, 17, 21}]
23;15;4;[{0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22}, {9}, {3}]
23;16;4;[{0}, {1, 22}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21}]
23;17;4;[{0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22}, {13}, {3}]
23;18;4;[{0}, {1, 22}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21}]
23;19;4;[{0}, {1, 22}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21}]
23;20;4;[{0}, {1, 22}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21}]
23;21;4;[{0}, {1, 4, 5, 6, 7, 9, 10, 13, 14, 16, 17, 18, 19, 22}, {2, 3, 8, 11, 12, 15, 20, 21}]
23;22;8;[{0, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21}, {4, 20}, {2, 22}, {12}, {8, 16}, {18, 6}, {10, 14}]
29;2;4;[{0}, {1, 3, 6, 7, 8, 9, 12, 14, 15, 17, 20, 21, 22, 23, 26, 28}, {2, 4, 5, 10, 11, 13, 16, 18, 19, 24, 25, 27}]
29;3;4;[{0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {4}, {2}]
29;4;4;[{0, 1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {8}, {2, 5}]
29;5;4;[{0}, {1, 12, 28, 17}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}]
29;6;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {17}, {14}]
29;7;4;[{0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {14}, {6}]
29;8;4;[{0}, {1, 4, 8, 9, 10, 12, 17, 19, 20, 21, 25, 28}, {2, 3, 5, 6, 7, 11, 13, 14, 15, 16, 18, 22, 23, 24, 26, 27}]
29;9;4;[{0}, {1, 6, 7, 9, 20, 22, 23, 28}, {2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 24, 25, 26, 27}]
29;10;4;[{0}, {1, 12, 28, 17}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}]
29;11;4;[{0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28}, {21}, {5}]
29;12;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28}, {9, 21}, {12}]
29;13;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {16}, {10}]
29;14;5;[{0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 28}, {2, 26}, {14}, {10, 18}]
29;15;4;[{0, 1, 2, 3, 4, 5, 6, 7, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {11}, {8, 10}]
29;16;4;[{0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {19, 4}, {8}]
29;17;4;[{0}, {1, 4, 5, 6, 7, 9, 13, 16, 20, 22, 23, 24, 25, 28}, {2, 3, 8, 10, 11, 12, 14, 15, 17, 18, 19, 21, 26, 27}]
29;18;4;[{0}, {1, 12, 28, 17}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}]
29;19;4;[{0}, {1, 12, 28, 17}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}]
29;20;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {15}, {12}]
29;21;4;[{0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {14}, {4, 13}]
29;22;4;[{0}, {1, 11, 12, 13, 16, 17, 18, 28}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 15, 19, 20, 21, 22, 23, 24, 25, 26, 27}]
29;23;4;[{0}, {1, 3, 8, 14, 15, 21, 26, 28}, {2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 22, 23, 24, 25, 27}]
29;24;4;[{0}, {1, 12, 28, 17}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}]
29;25;4;[{0}, {1, 4, 5, 6, 7, 9, 12, 13, 16, 17, 20, 22, 23, 24, 25, 28}, {2, 3, 8, 10, 11, 14, 15, 18, 19, 21, 26, 27}]
29;26;4;[{0}, {1, 12, 28, 17}, {2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27}]
29;27;4;[{0, 1, 2, 3, 6, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 24, 25, 26, 27, 28}, {4, 5, 7, 8, 18, 23}, {17}]
29;28;9;[{0, 1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28}, {27, 3}, {9, 21}, {19, 11}, {25, 5}, {23, 7}, {15}, {17, 13}]
31;2;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}, {19}, {10}]
31;3;4;[{0}, {1, 5, 6, 25, 26, 30}, {2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29}]
31;4;4;[{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}, {1}, {16}]
31;5;4;[{0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}, {13}, {3}]
31;6;4;[{0}, {1, 4, 5, 6, 7, 11, 20, 24, 25, 26, 27, 30}, {2, 3, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 28, 29}]
31;7;4;[{0}, {1, 26, 5, 30}, {2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29}]
31;8;4;[{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}, {14}, {9}]
31;9;4;[{0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}, {8}, {2}]
31;10;4;[{0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}, {20, 5}, {17, 19}]
31;11;4;[{0}, {1, 5, 6, 7, 8, 11, 20, 23, 24, 25, 26, 30}, {2, 3, 4, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 27, 28, 29}]
31;12;4;[{0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}, {3, 13}, {4}]
